participant_id	species	age	sex	strain
MG240214	mouse	73	M	B6-cdh23
MG240920	mouse	47	M	B6-cdh23
HK210102	mouse	43	M	c57BL/6J
MG240609	mouse	91	M	B6-cdh23
MG240903	mouse	73	F	B6-cdh23
MG240607	mouse	89	F	B6-cdh23
MG240910	mouse	37	M	c57BL/6J
MG240913	mouse	40	M	c57BL/6J
